datetime,respondent_code,respondent_name,demand_value,units
2024-10-28 02:00:00,NE,New England,12200.0,megawatthours
2024-10-28 02:00:00,NE,New England,12259.0,megawatthours
2024-10-28 03:00:00,NE,New England,11376.0,megawatthours
2024-10-28 03:00:00,NE,New England,-462.0,megawatthours
2024-10-28 03:00:00,NE,New England,10914.0,megawatthours
2024-10-28 03:00:00,NE,New England,11320.0,megawatthours
2024-10-28 04:00:00,NE,New England,-639.0,megawatthours
2024-10-28 04:00:00,NE,New England,10175.0,megawatthours
2024-10-28 04:00:00,NE,New England,10540.0,megawatthours
2024-10-28 04:00:00,NE,New England,10814.0,megawatthours
2024-10-28 05:00:00,NE,New England,-689.0,megawatthours
2024-10-28 05:00:00,NE,New England,9740.0,megawatthours
2024-10-28 05:00:00,NE,New England,10080.0,megawatthours
2024-10-28 05:00:00,NE,New England,10429.0,megawatthours
2024-10-28 06:00:00,NE,New England,9790.0,megawatthours
2024-10-28 06:00:00,NE,New England,10280.0,megawatthours
2024-10-28 06:00:00,NE,New England,-728.0,megawatthours
2024-10-28 06:00:00,NE,New England,9552.0,megawatthours
2024-10-28 07:00:00,NE,New England,9401.0,megawatthours
2024-10-28 07:00:00,NE,New England,10271.0,megawatthours
2024-10-28 07:00:00,NE,New England,-870.0,megawatthours
2024-10-28 07:00:00,NE,New England,9660.0,megawatthours
2024-10-28 08:00:00,NE,New England,10291.0,megawatthours
2024-10-28 08:00:00,NE,New England,-731.0,megawatthours
2024-10-28 08:00:00,NE,New England,9560.0,megawatthours
2024-10-28 08:00:00,NE,New England,9710.0,megawatthours
2024-10-28 09:00:00,NE,New England,-867.0,megawatthours
2024-10-28 09:00:00,NE,New England,9760.0,megawatthours
2024-10-28 09:00:00,NE,New England,10060.0,megawatthours
2024-10-28 09:00:00,NE,New England,10627.0,megawatthours
2024-10-28 10:00:00,NE,New England,-444.0,megawatthours
2024-10-28 10:00:00,NE,New England,10636.0,megawatthours
2024-10-28 10:00:00,NE,New England,10980.0,megawatthours
2024-10-28 10:00:00,NE,New England,11080.0,megawatthours
2024-10-28 11:00:00,NE,New England,12517.0,megawatthours
