date,region,type_name,sum,mean,min,max
2024-09-08T06,PJM,Coal,6657.0,6657.0,6657.0,6657.0
2024-09-08T06,PJM,Hydro,229.0,229.0,229.0,229.0
2024-09-08T06,PJM,Natural Gas,34195.0,34195.0,34195.0,34195.0
2024-09-08T06,PJM,Nuclear,31809.0,31809.0,31809.0,31809.0
2024-09-08T06,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-08T06,PJM,Wind,1455.0,1455.0,1455.0,1455.0
2024-09-08T07,MISO,Coal,13138.0,13138.0,13138.0,13138.0
2024-09-08T07,MISO,Hydro,449.0,449.0,449.0,449.0
2024-09-08T07,MISO,Natural Gas,17795.0,17795.0,17795.0,17795.0
2024-09-08T07,MISO,Nuclear,11406.0,11406.0,11406.0,11406.0
2024-09-08T07,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-08T07,MISO,Wind,10801.0,10801.0,10801.0,10801.0
2024-09-08T07,PJM,Coal,6719.0,6719.0,6719.0,6719.0
2024-09-08T07,PJM,Hydro,237.0,237.0,237.0,237.0
2024-09-08T07,PJM,Natural Gas,33441.0,33441.0,33441.0,33441.0
2024-09-08T07,PJM,Nuclear,31838.0,31838.0,31838.0,31838.0
2024-09-08T07,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-08T07,PJM,Wind,1373.0,1373.0,1373.0,1373.0
2024-09-08T08,MISO,Coal,12839.0,12839.0,12839.0,12839.0
2024-09-08T08,MISO,Hydro,455.0,455.0,455.0,455.0
2024-09-08T08,MISO,Natural Gas,16248.0,16248.0,16248.0,16248.0
2024-09-08T08,MISO,Nuclear,11418.0,11418.0,11418.0,11418.0
2024-09-08T08,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-08T08,MISO,Wind,11390.0,11390.0,11390.0,11390.0
2024-09-08T08,PJM,Coal,6810.0,6810.0,6810.0,6810.0
2024-09-08T08,PJM,Hydro,249.0,249.0,249.0,249.0
2024-09-08T08,PJM,Natural Gas,31967.0,31967.0,31967.0,31967.0
2024-09-08T08,PJM,Nuclear,32001.0,32001.0,32001.0,32001.0
2024-09-08T08,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-08T08,PJM,Wind,1283.0,1283.0,1283.0,1283.0
2024-09-08T09,MISO,Coal,12527.0,12527.0,12527.0,12527.0
2024-09-08T09,MISO,Hydro,453.0,453.0,453.0,453.0
2024-09-08T09,MISO,Natural Gas,15786.0,15786.0,15786.0,15786.0
2024-09-08T09,MISO,Nuclear,11474.0,11474.0,11474.0,11474.0
2024-09-08T09,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-08T09,MISO,Wind,11780.0,11780.0,11780.0,11780.0
2024-09-08T09,PJM,Coal,6853.0,6853.0,6853.0,6853.0
2024-09-08T09,PJM,Hydro,269.0,269.0,269.0,269.0
2024-09-08T09,PJM,Natural Gas,32456.0,32456.0,32456.0,32456.0
2024-09-08T09,PJM,Nuclear,32077.0,32077.0,32077.0,32077.0
2024-09-08T09,PJM,Solar,6.0,6.0,6.0,6.0
2024-09-08T09,PJM,Wind,1250.0,1250.0,1250.0,1250.0
2024-09-08T10,MISO,Coal,12505.0,12505.0,12505.0,12505.0
2024-09-08T10,MISO,Hydro,445.0,445.0,445.0,445.0
2024-09-08T10,MISO,Natural Gas,15119.0,15119.0,15119.0,15119.0
2024-09-08T10,MISO,Nuclear,11529.0,11529.0,11529.0,11529.0
2024-09-08T10,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-08T10,MISO,Wind,11835.0,11835.0,11835.0,11835.0
2024-09-08T10,PJM,Coal,6930.0,6930.0,6930.0,6930.0
2024-09-08T10,PJM,Hydro,336.0,336.0,336.0,336.0
2024-09-08T10,PJM,Natural Gas,32185.0,32185.0,32185.0,32185.0
2024-09-08T10,PJM,Nuclear,32130.0,32130.0,32130.0,32130.0
2024-09-08T10,PJM,Wind,1244.0,1244.0,1244.0,1244.0
2024-09-08T11,MISO,Coal,12970.0,12970.0,12970.0,12970.0
2024-09-08T11,MISO,Hydro,448.0,448.0,448.0,448.0
