date,region,fuel_type,type_name,total_generation,units
2024-10-07T17,MISO,SUN,Solar,7236.0,megawatthours
2024-10-07T17,MISO,WAT,Hydro,488.0,megawatthours
2024-10-07T17,MISO,WND,Wind,1887.0,megawatthours
2024-10-07T17,PJM,COL,Coal,10227.0,megawatthours
2024-10-07T17,PJM,NG,Natural Gas,36019.0,megawatthours
2024-10-07T17,PJM,NUC,Nuclear,30138.0,megawatthours
2024-10-07T17,PJM,SUN,Solar,6269.0,megawatthours
2024-10-07T17,PJM,WAT,Hydro,824.0,megawatthours
2024-10-07T17,PJM,WND,Wind,1195.0,megawatthours
2024-10-07T16,MISO,COL,Coal,21821.0,megawatthours
2024-10-07T16,MISO,NG,Natural Gas,28082.0,megawatthours
2024-10-07T16,MISO,NUC,Nuclear,10121.0,megawatthours
2024-10-07T16,MISO,SUN,Solar,7251.0,megawatthours
2024-10-07T16,MISO,WAT,Hydro,469.0,megawatthours
2024-10-07T16,MISO,WND,Wind,1877.0,megawatthours
2024-10-07T16,PJM,COL,Coal,10036.0,megawatthours
2024-10-07T16,PJM,NG,Natural Gas,35973.0,megawatthours
2024-10-07T16,PJM,NUC,Nuclear,30129.0,megawatthours
2024-10-07T16,PJM,SUN,Solar,6331.0,megawatthours
2024-10-07T16,PJM,WAT,Hydro,884.0,megawatthours
2024-10-07T16,PJM,WND,Wind,1163.0,megawatthours
2024-10-07T15,MISO,COL,Coal,21230.0,megawatthours
2024-10-07T15,MISO,NG,Natural Gas,26760.0,megawatthours
2024-10-07T15,MISO,NUC,Nuclear,10128.0,megawatthours
2024-10-07T15,MISO,SUN,Solar,6866.0,megawatthours
2024-10-07T15,MISO,WAT,Hydro,464.0,megawatthours
2024-10-07T15,MISO,WND,Wind,2406.0,megawatthours
2024-10-07T15,PJM,COL,Coal,9916.0,megawatthours
2024-10-07T15,PJM,NG,Natural Gas,35642.0,megawatthours
2024-10-07T15,PJM,NUC,Nuclear,30136.0,megawatthours
2024-10-07T15,PJM,SUN,Solar,6330.0,megawatthours
2024-10-07T15,PJM,WAT,Hydro,831.0,megawatthours
2024-10-07T15,PJM,WND,Wind,1035.0,megawatthours
2024-10-07T14,MISO,COL,Coal,21805.0,megawatthours
2024-10-07T14,MISO,NG,Natural Gas,26849.0,megawatthours
2024-10-07T14,MISO,NUC,Nuclear,10133.0,megawatthours
2024-10-07T14,MISO,SUN,Solar,4371.0,megawatthours
2024-10-07T14,MISO,WAT,Hydro,515.0,megawatthours
2024-10-07T14,MISO,WND,Wind,2988.0,megawatthours
2024-10-07T14,PJM,COL,Coal,9686.0,megawatthours
2024-10-07T14,PJM,NG,Natural Gas,34886.0,megawatthours
2024-10-07T14,PJM,NUC,Nuclear,30137.0,megawatthours
2024-10-07T14,PJM,SUN,Solar,6392.0,megawatthours
2024-10-07T14,PJM,WAT,Hydro,807.0,megawatthours
2024-10-07T14,PJM,WND,Wind,937.0,megawatthours
2024-10-07T13,MISO,COL,Coal,22680.0,megawatthours
2024-10-07T13,MISO,NG,Natural Gas,27695.0,megawatthours
2024-10-07T13,MISO,NUC,Nuclear,10138.0,megawatthours
2024-10-07T13,MISO,SUN,Solar,632.0,megawatthours
2024-10-07T13,MISO,WAT,Hydro,685.0,megawatthours
2024-10-07T13,MISO,WND,Wind,3903.0,megawatthours
2024-10-07T13,PJM,COL,Coal,9248.0,megawatthours
2024-10-07T13,PJM,NG,Natural Gas,35901.0,megawatthours
2024-10-07T13,PJM,NUC,Nuclear,30112.0,megawatthours
2024-10-07T13,PJM,SUN,Solar,5460.0,megawatthours
2024-10-07T13,PJM,WAT,Hydro,833.0,megawatthours
2024-10-07T13,PJM,WND,Wind,1116.0,megawatthours
2024-10-07T12,MISO,COL,Coal,21726.0,megawatthours
2024-10-07T12,MISO,NG,Natural Gas,26642.0,megawatthours
2024-10-07T12,MISO,NUC,Nuclear,10132.0,megawatthours
2024-10-07T12,MISO,SUN,Solar,3.0,megawatthours
2024-10-07T12,MISO,WAT,Hydro,584.0,megawatthours
2024-10-07T12,MISO,WND,Wind,4648.0,megawatthours
2024-10-07T12,PJM,COL,Coal,9350.0,megawatthours
2024-10-07T12,PJM,NG,Natural Gas,36311.0,megawatthours
2024-10-07T12,PJM,NUC,Nuclear,30099.0,megawatthours
2024-10-07T12,PJM,SUN,Solar,2052.0,megawatthours
2024-10-07T12,PJM,WAT,Hydro,1291.0,megawatthours
2024-10-07T12,PJM,WND,Wind,2222.0,megawatthours
2024-10-07T11,MISO,COL,Coal,19865.0,megawatthours
2024-10-07T11,MISO,NG,Natural Gas,24584.0,megawatthours
2024-10-07T11,MISO,NUC,Nuclear,10128.0,megawatthours
2024-10-07T11,MISO,SUN,Solar,2.0,megawatthours
2024-10-07T11,MISO,WAT,Hydro,374.0,megawatthours
2024-10-07T11,MISO,WND,Wind,4946.0,megawatthours
2024-10-07T11,PJM,COL,Coal,9005.0,megawatthours
2024-10-07T11,PJM,NG,Natural Gas,34947.0,megawatthours
2024-10-07T11,PJM,NUC,Nuclear,30078.0,megawatthours
2024-10-07T11,PJM,SUN,Solar,41.0,megawatthours
2024-10-07T11,PJM,WAT,Hydro,1698.0,megawatthours
2024-10-07T11,PJM,WND,Wind,2630.0,megawatthours
2024-10-07T10,MISO,COL,Coal,17353.0,megawatthours
2024-10-07T10,MISO,NG,Natural Gas,22455.0,megawatthours
2024-10-07T10,MISO,NUC,Nuclear,10129.0,megawatthours
2024-10-07T10,MISO,SUN,Solar,2.0,megawatthours
2024-10-07T10,MISO,WAT,Hydro,368.0,megawatthours
2024-10-07T10,MISO,WND,Wind,5397.0,megawatthours
2024-10-07T10,PJM,COL,Coal,8578.0,megawatthours
2024-10-07T10,PJM,NG,Natural Gas,30983.0,megawatthours
2024-10-07T10,PJM,NUC,Nuclear,30061.0,megawatthours
2024-10-07T10,PJM,WAT,Hydro,925.0,megawatthours
2024-10-07T10,PJM,WND,Wind,3026.0,megawatthours
2024-10-07T09,MISO,COL,Coal,16072.0,megawatthours
2024-10-07T09,MISO,NG,Natural Gas,21178.0,megawatthours
2024-10-07T09,MISO,NUC,Nuclear,10127.0,megawatthours
2024-10-07T09,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T09,MISO,WAT,Hydro,369.0,megawatthours
2024-10-07T09,MISO,WND,Wind,6087.0,megawatthours
2024-10-07T09,PJM,COL,Coal,8350.0,megawatthours
2024-10-07T09,PJM,NG,Natural Gas,26967.0,megawatthours
2024-10-07T09,PJM,NUC,Nuclear,30056.0,megawatthours
2024-10-07T09,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T09,PJM,WAT,Hydro,599.0,megawatthours
2024-10-07T09,PJM,WND,Wind,3597.0,megawatthours
2024-10-07T08,MISO,COL,Coal,15849.0,megawatthours
2024-10-07T08,MISO,NG,Natural Gas,20987.0,megawatthours
2024-10-07T08,MISO,NUC,Nuclear,10126.0,megawatthours
2024-10-07T08,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T08,MISO,WAT,Hydro,370.0,megawatthours
2024-10-07T08,MISO,WND,Wind,6928.0,megawatthours
2024-10-07T08,PJM,COL,Coal,7687.0,megawatthours
2024-10-07T08,PJM,NG,Natural Gas,25730.0,megawatthours
2024-10-07T08,PJM,NUC,Nuclear,30057.0,megawatthours
2024-10-07T08,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T08,PJM,WAT,Hydro,553.0,megawatthours
2024-10-07T08,PJM,WND,Wind,3923.0,megawatthours
2024-10-07T07,MISO,COL,Coal,16162.0,megawatthours
2024-10-07T07,MISO,NG,Natural Gas,20928.0,megawatthours
2024-10-07T07,MISO,NUC,Nuclear,10113.0,megawatthours
2024-10-07T07,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T07,MISO,WAT,Hydro,370.0,megawatthours
2024-10-07T07,MISO,WND,Wind,8096.0,megawatthours
2024-10-07T07,PJM,COL,Coal,7986.0,megawatthours
2024-10-07T07,PJM,NG,Natural Gas,25465.0,megawatthours
2024-10-07T07,PJM,NUC,Nuclear,30028.0,megawatthours
2024-10-07T07,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T07,PJM,WAT,Hydro,536.0,megawatthours
2024-10-07T07,PJM,WND,Wind,3937.0,megawatthours
2024-10-07T06,MISO,COL,Coal,17030.0,megawatthours
2024-10-07T06,MISO,NG,Natural Gas,21102.0,megawatthours
2024-10-07T06,MISO,NUC,Nuclear,10111.0,megawatthours
2024-10-07T06,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T06,MISO,WAT,Hydro,371.0,megawatthours
2024-10-07T06,MISO,WND,Wind,9438.0,megawatthours
2024-10-07T06,PJM,COL,Coal,8189.0,megawatthours
2024-10-07T06,PJM,NG,Natural Gas,25135.0,megawatthours
2024-10-07T06,PJM,NUC,Nuclear,30016.0,megawatthours
2024-10-07T06,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T06,PJM,WAT,Hydro,543.0,megawatthours
2024-10-07T06,PJM,WND,Wind,3967.0,megawatthours
2024-10-07T05,MISO,COL,Coal,18856.0,megawatthours
2024-10-07T05,MISO,NG,Natural Gas,21811.0,megawatthours
2024-10-07T05,MISO,NUC,Nuclear,10108.0,megawatthours
2024-10-07T05,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T05,MISO,WAT,Hydro,378.0,megawatthours
2024-10-07T05,MISO,WND,Wind,10392.0,megawatthours
2024-10-07T05,PJM,COL,Coal,8718.0,megawatthours
2024-10-07T05,PJM,NG,Natural Gas,25919.0,megawatthours
2024-10-07T05,PJM,NUC,Nuclear,30088.0,megawatthours
2024-10-07T05,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T05,PJM,WAT,Hydro,554.0,megawatthours
2024-10-07T05,PJM,WND,Wind,4055.0,megawatthours
2024-10-07T04,MISO,COL,Coal,19915.0,megawatthours
2024-10-07T04,MISO,NG,Natural Gas,23013.0,megawatthours
2024-10-07T04,MISO,NUC,Nuclear,10103.0,megawatthours
2024-10-07T04,MISO,SUN,Solar,1.0,megawatthours
2024-10-07T04,MISO,WAT,Hydro,392.0,megawatthours
2024-10-07T04,MISO,WND,Wind,11286.0,megawatthours
2024-10-07T04,PJM,COL,Coal,9094.0,megawatthours
2024-10-07T04,PJM,NG,Natural Gas,25869.0,megawatthours
2024-10-07T04,PJM,NUC,Nuclear,30453.0,megawatthours
2024-10-07T04,PJM,WAT,Hydro,751.0,megawatthours
2024-10-07T04,PJM,WND,Wind,7150.0,megawatthours
2024-10-07T03,MISO,COL,Coal,20226.0,megawatthours
2024-10-07T03,MISO,NG,Natural Gas,24816.0,megawatthours
2024-10-07T03,MISO,NUC,Nuclear,10101.0,megawatthours
2024-10-07T03,MISO,WAT,Hydro,485.0,megawatthours
2024-10-07T03,MISO,WND,Wind,12086.0,megawatthours
2024-10-07T03,PJM,COL,Coal,11916.0,megawatthours
2024-10-07T03,PJM,NG,Natural Gas,27690.0,megawatthours
